Brief Description,Road,Project Year,City/Location,Length (miles),Functional Class,Improvement Type,AreaTypeFuncClass,Comments,xConstructionYear,State,County,Internal Project ID,GEOID,Area TypeCounty,TollType,Segment ID,Segment Description,Year of Observation,xMonth of Observation,Count,Count Units,xSource,Station Identifier,State,Traffic Forecast,Forecast Units,Forecast Year,Forecast Year Type,Year Forecast Produced,Forecasting Agency,Forecast Methodology,Post-processing Methodology,Post-processing Explanation,Count State,Opening Year,Opening Year Actual Count,PE
"The SR 9 – Add Lanes and Rehabilitate Pavement Project from SR 50 (M.P. 13.900) to
Volusia County Line (M.P. 31.190)",SR 9 –,2006,Brevard ,17.29,1,1,3,,2006,12,Brevard ,406869-3,12127,3,1,1,,2006,February,46000,AADT,72 Hour Classification Count,700364,FL,53400,AADT,2012,1,2006,5,1,1,,12,2012,52500,0.0169
"The SR 9 – Add Lanes and Rehabilitate Pavement Project from SR 50 (M.P. 13.900) to
Volusia County Line (M.P. 31.190)",SR 9 –,2006,Brevard ,,1,1,3,,2006,12,Brevard ,406869-5,12127,3,1,2,,2006,February,38900,AADT,72 Hour Classification Count,700363,FL,45000,AADT,2012,1,2006,5,1,1,,12,2012,29500,0.3444
"The SR 9 – Add Lanes and Rehabilitate Pavement Project from SR 50 (M.P. 13.900) to
Volusia County Line (M.P. 31.190)",SR 9 –,2006,Brevard ,,3,1,1,,2006,12,Brevard ,406869-5,12127,3,1,3,,2006,February,30800,AADT,72 Hour Classification Count,700436,FL,35700,AADT,2012,1,2006,5,1,1,,12,2012,30000,0.1597
"The SR 9 Add Lanes & Rehabilitate Pavement Project from North of SR 528 (M.P. 4.400) to
SR 50 (M.P. 14.400).",SR 9 A,2005,Brevard ,,3,4,2,,2005,12,Brevard ,405506-2,12127,3,1,1,,2005,April,46000,AADT,72 Hour Classification Count,700439,FL,53700,AADT,2010,1,2005,5,1,1,,12,2010,36500,0.3203
"The SR 9 Add Lanes & Rehabilitate Pavement Project from North of SR 528 (M.P. 4.400) to
SR 50 (M.P. 14.400).",SR 9 A,2005,Brevard ,,3,4,2,,2005,12,Brevard ,405506-2,12127,3,1,2,,2005,April,41900,AADT,72 Hour Classification Count,700401,FL,48900,AADT,2010,1,2005,5,1,1,,12,2010,39000,0.2025
"The SR 9 Add Lanes & Rehabilitate Pavement Project from North of SR 528 (M.P. 4.400) to
SR 50 (M.P. 14.400).",SR 9 A,2005,Brevard ,,3,4,2,,2005,12,Brevard ,405506-2,12127,3,1,3,,2005,April,43100,AADT,72 Hour Classification Count,700402,FL,50300,AADT,2010,1,2005,5,1,1,,12,2010,39000,0.2247
The Add Lanes & Reconstruct Project for SR 426 begin at Mitchell Hammock Road (M.P. 5.050) and end at Pine Street (M.P.6.000).,SR 426,2002,Seminole ,0.95,3,4,3,,2002,12,Seminole ,404525-1,12127,3,1,1,Pine Street to Clark Street,2002,March,18500,AADT,72 Hour Classification Count,770020,FL,20600,AADT,2006,1,2002,5,5,1,Average of Trend and OUATS,12,2006,19900,0.034
The Add Lanes & Reconstruct Project for SR 426begin at Mitchell Hammock Road (M.P. 5.050) and end at Pine Street (M.P.6.000).,SR 426,2002,Seminole ,0.95,3,4,3,,2002,12,Seminole ,404525-1,12127,3,1,2,lark Street to Mitchel Hammock Road,2002,March,23700,AADT,72 Hour Classification Count,770020,FL,26300,AADT,2006,1,2002,5,5,1,Average of Trend and OUATS,12,2006,19900,0.2433
"The SR 15/600 – Interchange (Major) Project Interchange of SR 15/600 and SR 436 (M.P. 1.500) to (M.P.
2.000)",SR 15/,2006,Seminole ,0.5,3,2,3,,2006,12,Seminole ,404418-1,12127,3,1,1,,2006,May,48900,AADT,72 Hour Classification Count,770019,FL,51500,AADT,2006,1,2006,5,1,1,,12,2006,49000,0.0485
"The SR 15/600 – Interchange (Major) Project Interchange of SR 15/600 and SR 436 (M.P. 1.500) to (M.P.
2.000)",SR 15/,2006,Seminole ,0.5,3,2,3,,2006,12,Seminole ,404418-1,12127,3,1,2,,2006,May,53200,AADT,72 Hour Classification Count,770152,FL,56100,AADT,2006,1,2006,5,1,1,,12,2006,56500,-0.0071
"The Add-Lanes Project for SR 9 begin
1.2 miles north of SR 40 (M.P. 36.500) and end at Flagler County Line (M.P. 45.800).",SR 9 b,2002,Volusia ,9.3,3,4,1,,2002,12,Volusia ,242696-1,12127,3,1,1,,2002,December,45400,AADT,72 Hour Classification Count,790495,FL,46600,AADT,2003,1,2002,5,1,1,,12,2003,58500,-0.2554
"The Add-Lanes Project for SR 9 begin
1.2 miles north of SR 40 (M.P. 36.500) and end at Flagler County Line (M.P. 45.800).",SR 9 b,2002,Volusia ,9.3,3,4,1,,2002,12,Volusia ,242696-1,12127,3,1,2,,2002,December,40000,AADT,72 Hour Classification Count,790496,FL,41100,AADT,2003,1,2002,,,1,,12,2003,60500,-0.472
"The SR 400 Resurfacing, Widening and New Construction Project from Orange County Line (M.P. 0.000) to 1.0 mile north of SR 434 (M.P. 4.500).",SR 400,2005,Seminole ,4.5,1,4,3,,2005,12,Seminole ,242592-2,12127,3,1,1,,2005,November,135000,AADT,72 Hour Classification Count,770267,FL,148500,AADT,2009,1,2005,5,1,1,,12,2009,142000,0.0438
"The CR 484 Add Lanes and Reconstruct (0213) Project from 2200’ East of I-75 (M.P. 9.638)
to SE 47th Ave (M.P. 14.506)",,2005,Marion ,4.868,3,4,3,,2005,12,Marion ,241543-1,12127,3,1,1,,2005,August,15000,AADT,72 Hour Classification Count,360467,FL,16600,AADT,2008,1,2005,5,4,1,CFRPM III,12,2008,11300,0.3193
Port Malabar Blvd. Bridge Replacement Project on Port Malabar Blvd. from M.P. 0.201 to M.P. 0.223,,2007,Brevard ,0.022,4,1,3,,2007,12,Brevard ,241211-1,12127,3,1,1,,2007,August,13800,AADT,72 Hour Classification Count,700379,FL,14200,AADT,2010,1,2007,5,5,1,Conservative growth rate,12,2010,17000,-0.1972
"The SR 5 Low Level Bridge Replacement Project from M.P. 2.488 to M.P.
2.522.",SR 5 L,2002,Volusia ,0.034,3,1,1,,2002,12,Volusia ,241043-1,12127,3,1,1,,2002,December,2675,AADT,72 Hour Classification Count,790531,FL,2845,AADT,2006,1,2002,5,4,1,,12,2006,3700,-0.3005
"The Add Left Turn Lane(s) Project begin at south of US 92 Extension (M.P.
15.072) to the US 92 Extension (M.P. 15.172)",,2004,Volusia ,,3,4,3,,2004,12,Volusia ,241020-1,12127,3,1,1,,2004,September,28500,AADT,72 Hour Classification Count,790066,FL,30100,AADT,2007,1,2004,5,5,1,Average of CFRPM III and trend,12,2007,25000,0.1694
The SR 5 intersection improvement project at Canal Street from (M.P. 18.030) to (M.P. 18.320,SR 5 i,2010,Volusia ,,3,2,3,,2010,12,Volusia ,240992-5,12127,3,1,1,,2010,November,24500,AADT,72 Hour Classification Count,795155,FL,25000,AADT,2012,1,2010,5,4,1,CFRPM IV,12,2012,24500,0.02
"The SR 5/US 1 (Ridgewood Avenue) – intersection improvement project from South of
Dunlawton Avenue (M.P. 27.400) to North of Herbert Street (M.P. 27.850",SR 5/U,2010,Volusia ,,3,2,3,,2010,12,Volusia ,240992-2,12127,3,1,1,,2010,August,19800,AADT,72 Hour Classification Count,795057,FL,20200,AADT,2012,1,2010,5,4,1,CFRPM IV,12,2012,19600,0.0297
"The SR 5/US 1 (Ridgewood Avenue) – intersection improvement project from South of
Dunlawton Avenue (M.P. 27.400) to North of Herbert Street (M.P. 27.851",SR 5/U,2010,Volusia ,,3,2,3,,2010,12,Volusia ,240992-2,12127,3,1,2,,2010,August,25300,AADT,72 Hour Classification Count,790213,FL,25800,AADT,2012,1,2010,5,4,1,CFRPM IV,12,2012,24500,0.0504
The Add Lanes & Reconstruct Project for SR 15/600 begin at SR 472 (M.P. 9.407) and end at SR 15A (M.P. 11.322,SR 15/,2002,Volusia ,,3,4,3,,2002,12,Volusia ,240887-1,12127,3,1,1,,2002,April,42300,AADT,72 Hour Classification Count,791004,FL,44700,AADT,2008,1,2002,5,5,1,Average of VCUATS and Trend,12,2008,47500,-0.0626
"The Add Lanes & Reconstruct Project begin east of CR 470 (M.P. 2.687) and end
at I-75 (M.P. 7.987).",,2002,Sumter ,5.3,3,4,1,,2002,12,Sumter ,240373-1,12127,3,1,1,,2002,April,7830,AADT,72 Hour Classification Count,180202,FL,8440,AADT,2005,1,2002,5,1,1,,12,2005,8200,0.0284
"The SR 520 Traffic Ops Improvement Project on SR 520 from East of SR 5 (M.P. 8.750) to East of Forrest
Ave (M.P. 9.035).",SR 520,2005,Brevard ,0.285,3,12,3,Traffic Operation Improvement,2005,12,Brevard ,416408-1,12127,3,1,1,MP 8.75 to MP 9.035,2005,April,46500,AADT,72 Hour Classification Count,705119,FL,48500,AADT,2008,1,2005,5,1,1,,12,2008,32500,0.3299
"The SR 93 Resurfacing Project on SR 93 from SR 91(Florida’s Turnpike) (M.P. 21.730) to Marion County Line
(M.P. 28.996)",SR 93 ,2006,Sumter ,7.266,3,1,1,,2006,12,Sumter ,416939-1,12127,3,1,1,MP 21.730 to South of SR 93,2006,June,77700,AADT,72 Hour Classification Count,180186,FL,82900,AADT,2008,1,2006,5,5,1,he growth rate from the I-75 PD&E Report dated July 2006 of 3.60% is best suited for this area.,12,2008,71500,0.1375
"The SR 93 Resurfacing Project on SR 93 from SR 91(Florida’s Turnpike) (M.P. 21.730) to Marion County Line
(M.P. 28.996)",SR 93 ,2006,Sumter ,7.266,3,1,1,,2006,12,Sumter ,416939-1,12127,3,1,2,North of SR 93 to MP 28.996,2006,June,77900,AADT,72 Hour Classification Count,180188,FL,83200,AADT,2008,1,2006,5,5,1,he growth rate from the I-75 PD&E Report dated July 2006 of 3.60% is best suited for this area.,12,2008,68000,0.1827
The SR 11 – Resurfacing Project include SR 11 from Volusia County Line (M.P. 0.000) to SR 5/US 1 (M.P. 15.507).,SR 11 ,2005,Flagler,15.507,4,1,1,,2005,12,Flagler,417141-1,12035,3,1,1,SR 11 North of Volusia County Line,2005,December,3100,AADT,72 Hour Classification Count,730009,FL,3150,AADT,2008,1,2005,5,1,1,0.0236,12,2008,2600,0.1746
The SR 11 – Resurfacing Project include SR 11 from Volusia County Line (M.P. 0.000) to SR 5/US 1 (M.P. 15.507).,SR 11 ,2005,Flagler,15.507,4,1,1,,2005,12,Flagler,417141-1,12035,3,1,2,SR 11 South of US 1,2005,December,4750,AADT,72 Hour Classification Count,735009,FL,4850,AADT,2008,1,2005,5,1,1,0.0236,12,2008,6000,-0.2371
"The SR 518 – Traffic Operations Improvement Project on SR 518 from I-95 (M.P. 0.093) to John
Rhodes Boulevard (M.P. 0.506)",SR 518,2005,Brevard ,0.413,3,12,3,Traffic Operation Improvement,2005,12,Brevard ,416187-1,12127,3,1,1,MP 0.093 to MP 0.506,2005,March,33000,AADT,72 Hour Classification Count,700419,FL,35300,AADT,2007,1,2005,5,5,1,Average of Trend and CFRPM II growth rate,12,2007,32000,0.0935
"The SR 3 Resurfacing Project on SR 3 from 0.011 Miles South of Smith Rd (M.P. 3.858) to the Kennedy
Space Center Gate (M.P. 9.755).",SR 3 R,2005,Brevard ,5.897,3,1,3,,2005,,Brevard ,417153-1,12127,3,1,1,(M.P. 3.858) to (M.P. 9.755),2005,September,22000,AADT,72 Hour Classification Count,700438,FL,22400,AADT,2007,,2005,5,4,1,CFRPM III growth rate,12,2007,19200,0.1429
"The SR 40 – Resurfacing Project from 269 ft east of the intersection of SR 40 at Cypress Road (M.P. 6.535) to 438 ft west of the
intersection of SR 40 at Pinto Lane (M.P. 19.871",SR 40 ,2005,Volusia ,13.336,3,1,1,,2005,,Volusia ,417154-1,12127,3,1,1,SR 40 - 4.0 Miles East of US 17/SR 15,2005,August,6450,AADT,72 Hour Classification Count,790530,FL,7200,AADT,2008,,2005,5,1,1,Average growth factor of 3.74% for Rural Principal Arterials by the State of Florida,12,2008,5800,0.1944
"The SR 40 – Resurfacing Project from 269 ft east of the intersection of SR 40 at Cypress Road (M.P. 6.535) to 438 ft west of the
intersection of SR 40 at Pinto Lane (M.P. 19.872",SR 40 ,2005,Volusia ,13.336,3,1,1,,2005,,Volusia ,417154-1,12127,3,1,2,SR 40 - 3.0 Miles East of SR 11,2005,August,6000,AADT,72 Hour Classification Count,790523,FL,6700,AADT,2008,,2005,5,1,1,Average growth factor of 3.74% for Rural Principal Arterials by the State of Florida,12,2008,10800,-0.6119
